Index,FirstName,IsMale,IsFemale
0,Aabraham,true,false
1,Aada,false,true
2,Aadan,true,false
3,Aadolf,true,false
4,Aafje,false,true
5,Aage,true,false
6,Aali,true,false
7,Aalis,false,true
8,Aaliyah,false,true
9,Aamadu,true,false
10,Aamina,false,true
11,Aaminah,false,true
12,Aaminata,false,true
13,'Aamir,true,false
14,Aamir,true,false
15,Aamu,false,true
16,Aang,true,false
17,Aapeli,true,false
18,Aapo,true,false
19,Aaren,true,true
20,Aarne,true,false
21,Aaro,true,false
22,Aarón,true,false
23,Aaron,true,false
24,Aart,true,false
25,Aarthi,false,true
26,Aarti,false,true
27,Aase,false,true
28,Aatami,true,false
29,Aatos,true,false
30,Aatto,true,false
31,Aatu,true,false
32,Aava,false,true
33,Abacuc,true,false
34,Abaddon,true,false
35,Abbán,true,false
36,'Abbas,true,false
37,Abbas,true,false
38,Abbe,true,false
39,Abbey,false,true
40,Abbi,false,true
41,Abbie,false,true
42,Abby,false,true
43,Abd al-Aziz,true,false
44,Abd al-Hamid,true,false
45,Abd al-Kader,true,false
46,Abd al-Karim,true,false
47,Abd Allah,true,false
48,Abd al-Latif,true,false
49,Abd al-Majid,true,false
50,Abd al-Malik,true,false
51,Abd al-Qadir,true,false
52,Abd al-Rahim,true,false
53,Abd al-Rahman,true,false
54,Abd al-Rashid,true,false
55,Abd al-Wali,true,false
56,Abd ar-Rahman,true,false
57,Abdelaziz,true,false
58,Abdelhamid,true,false
59,Abdelkader,true,false
60,Abdellatif,true,false
61,Abdelmajid,true,false
62,Abderrahim,true,false
63,Abderrahmane,true,false
64,Abdias,true,false
65,Abdiel,true,false
66,Abdiou,true,false
67,Abdolhossein,true,false
68,Abdollah,true,false
69,Abdolreza,true,false
70,Abdou,true,false
71,Abdoul,true,false
72,Abdoulaye,true,false
73,Abduh,true,false
74,Abdul,true,false
75,Abdulah,true,false
76,Abdul-Aziz,true,false
77,Abdul-Hamid,true,false
78,Abdülhamit,true,false
79,Abdülkadir,true,false
80,Abdülkerim,true,false
81,Abdulla,true,false
82,Abdullaahi,true,false
83,Abdullah,true,false
84,Abdüllatif,true,false
85,Abdullo,true,false
86,Abdullohi,true,false
87,Abdul-Rahman,true,false
88,Abdurakhman,true,false
89,Abdur-Rahim,true,false
90,Abdur-Rahman,true,false
91,Abdur-Rashid,true,false
92,Abduweli,true,false
93,Abe,true,false
94,Abeba,false,true
95,Abednego,true,false
96,Abegail,false,true
97,Ábel,true,false
98,Abel,true,false
99,Abele,true,false
100,Abelone,false,true
101,Abena,false,true
102,Abene,false,true
103,Abeni,false,true
104,Abenner,true,false
105,Aberash,false,true
106,Abessa,true,false
107,Abessalom,true,false
108,Abha,false,true
109,Abhay,true,false
110,Abhijeet,true,false
111,Abhijit,true,false
112,Abhilash,true,false
113,Abhilasha,false,true
114,Abhinav,true,false
115,Abhishek,true,false
116,Abi,false,true
117,Abia,true,true
118,Abiah,true,true
119,Abiathar,true,false
120,Abidan,true,false
121,Abidemi,true,false
122,Abiel,true,false
123,Abigaia,false,true
124,Abigaíl,false,true
125,Abigaïl,false,true
126,Abigail,false,true
127,Abigayle,false,true
128,Abigél,false,true
129,Abihu,true,false
130,Abijah,true,true
131,Abilene,false,true
132,Abílio,true,false
133,Abilio,true,false
134,Abimael,true,false
135,Abimbola,true,true
136,Abimelech,true,false
137,Abiodun,true,true
138,Abioye,true,false
139,Abiram,true,false
140,Abisai,true,false
141,Abishag,false,true
142,Abishai,true,false
143,Abital,false,true
144,'Abla,false,true
145,Abner,true,false
146,Abolfazl,true,false
147,Abosede,false,true
148,Aboubacar,true,false
149,Abraam,true,false
150,Abraão,true,false
151,Ábrahám,true,false
152,Abraham,true,false
153,Abram,true,false
154,Abramo,true,false
155,Abrar,true,false
156,Abrasha,true,false
157,Abril,false,true
158,Absalom,true,false
159,Abu,true,false
160,Abu al-Fadl,true,false
161,Abubakar,true,false
162,Abu Bakr,true,false
163,Abul-Fazl,true,false
164,Aca,true,false
165,Acacia,false,true
166,Acacius,true,false
167,Acantha,false,true
168,Ace,true,false
169,Achaab,true,false
170,Achab,true,false
171,Achaicus,true,false
172,Achaikos,true,false
173,Achan,true,false
174,Achard,true,false
175,'Ach'av,true,false
176,Acheloios,true,false
177,Achelous,true,false
178,Achieng,false,true
179,Achille,true,false
180,Achilleas,true,false
181,Achilles,true,false
182,Achilleus,true,false
183,Achim,true,false
184,Achinoam,false,true
185,Acke,true,false
186,Aco,true,false
187,Ad,true,false
188,Ada,false,true
189,Adad,true,false
190,Adad-Nirari,true,false
191,Adaeze,false,true
192,Adah,false,true
193,Adair,true,true
194,Adalberht,true,false
195,Adalbern,true,false
196,Adalbert,true,false
197,Adalberto,true,false
198,Adalet,false,true
199,Adalfarus,true,false
200,Adalfuns,true,false
201,Adalgard,false,true
202,Adalhard,true,false
203,Adalheidis,false,true
204,Adalia,true,false
205,Adaline,false,true
206,Adallindis,false,true
207,Adalwin,true,false
208,Adalwolf,true,false
209,'Adalya',true,false
210,Adalyn,false,true
211,Adalynn,false,true
212,Ádám,true,false
213,Adam,true,false
214,Adamina,false,true
215,Adamo,true,false
216,Adamou,true,false
217,Adamu,true,false
218,Adán,true,false
219,Adanna,false,true
220,Adannaya,false,true
221,Adão,true,false
222,Adara,false,true
223,Adde,true,false
224,Addie,false,true
225,Addilyn,false,true
226,Addison,true,true
227,Addy,true,true
228,Addyson,false,true
229,Ade,true,true
230,Adebayo,true,false
231,Adebola,true,true
232,Adebowale,true,true
233,Adedayo,true,true
234,Adegoke,true,false
235,Adél,false,true
236,Adel,true,false
237,Adéla,false,true
238,Adela,false,true
239,Adelaida,false,true
240,Adélaïde,false,true
241,Adelaide,false,true
242,Adelais,false,true
243,Adelajda,false,true
244,Adélard,true,false
245,Adelardo,true,false
246,Adelbert,true,false
247,Adèle,false,true
248,Adele,false,true
249,Adelė,false,true
250,Adelheid,false,true
251,Adelia,false,true
252,Adélie,false,true
253,Adelina,false,true
254,Adeline,false,true
255,Adelita,false,true
256,Adella,false,true
257,Adelle,false,true
258,Adelmar,true,false
259,Adelyn,false,true
260,Adelynn,false,true
261,Adem,true,false
262,Ademar,true,false
263,Ademaro,true,false
264,Ademir,true,false
265,Aden,true,false
266,Adena,false,true
267,Adenike,false,true
268,Adeodatus,true,false
269,Aderyn,false,true
270,Adetokunbo,true,true
271,Ádhamh,true,false
272,Adhara,false,true
273,Adhiambo,false,true
274,Adi,true,true
275,Adil,true,false
276,Adila,false,true
277,Adile,false,true
278,Adilet,true,false
279,Adin,true,false
280,Adina,true,true
281,'Adinah,true,false
282,Adino,true,false
283,Adir,true,false
284,Adisa,true,false
285,Aditi,false,true
286,Aditya,true,false
287,Adjoa,false,true
288,Adlai,true,false
289,Admir,true,false
290,Adna,false,true
291,Adnan,true,false
292,Adolf,true,false
293,Adolfito,true,false
294,Adolfo,true,false
295,Adolph,true,false
296,Adolphe,true,false
297,Adolphus,true,false
298,Adomas,true,false
299,Adonai,true,false
300,Adone,true,false
301,Adonijah,true,false
302,Adoniram,true,false
303,Adonis,true,false
304,'Adoniyah,true,false
305,Adora,false,true
306,Adoración,false,true
307,Adorinda,false,true
308,Adorján,true,false
309,Adrastea,false,true
310,Adrasteia,false,true
311,Adrastos,true,false
312,Adria,false,true
313,Adrià,true,false
314,Adriaan,true,false
315,Adrián,true,false
316,Adrian,true,false
317,Adriana,false,true
318,Adrianna,false,true
319,Adrianne,false,true
320,Adriano,true,false
321,Adrianus,true,false
322,Adriel,true,false
323,Adrien,true,false
324,Adriene,false,true
325,Adrienn,false,true
326,Adrienne,false,true
327,Adrijan,true,false
328,Adrijana,false,true
329,Adsila,false,true
330,Adva,false,true
331,Adwoa,false,true
332,Adzo,false,true
333,Æbbe,false,true
334,Áed,true,false
335,Áedán,true,false
336,Áedh,true,false
337,Aegidius,true,false
338,Aegle,false,true
339,Ælfflæd,false,true
340,Ælfgar,true,false
341,Ælfgifu,false,true
342,Ælfheah,true,false
343,Ælfnoð,true,false
344,Ælfræd,true,false
345,Ælfric,true,false
346,Ælfsige,true,false
347,Ælfstan,true,false
348,Ælfswiþ,false,true
349,Ælfþryð,false,true
350,Ælfthryth,false,true
351,Ælfweard,true,false
352,Ælfwig,true,false
353,Ælfwine,true,false
354,Aelia,false,true
355,Aeliana,false,true
356,Aelianus,true,false
357,Aelita,false,true
358,Aelius,true,false
359,Aella,false,true
360,Ælred,true,false
361,Aemilia,false,true
362,Aemiliana,false,true
363,Aemilianus,true,false
364,Aemilius,true,false
365,Aeneas,true,false
366,Aengus,true,false
367,Aenor,false,true
368,Aeolus,true,false
